@id,name,@lat,@lon,railway,public_transport
30353086,Brandenburger Tor,52.5164415,13.3818418,halt,station
30353795,Saarmund,52.3236224,13.1392051,station,station
30353879,Westend,50.1181640,8.6625889,halt,station
30353880,Alte Oper,50.1153052,8.6712366,station,station
30389957,Ferch-Lienewitz,52.3037360,12.9641369,station,station
30408053,Altingen,48.5619490,8.9087749,halt,station
30408073,Gültstein,48.5774527,8.8817328,halt,station
30606376,Leipziger Straße,50.1226251,8.6455438,station,station
30622742,Taunusanlage,50.1136360,8.6689503,station,station
30688242,Gehrenseestraße,52.5564975,13.5247623,halt,station
30688290,Hohenschönhausen,52.5662755,13.5124988,station,station
30688292,Wartenberg,52.5729820,13.5038322,station,station
30717143,Aschaffenburg Hbf,49.9806657,9.1438818,station,station
30729855,Gernsheim,49.7530667,8.4903388,station,station
30739613,Marienfelde,52.4242122,13.3746844,station,station
30751055,Nieder-Eschbach,50.1994882,8.6702584,station,station
30779411,Mainz Nord,50.0200315,8.2461559,halt,station
30818314,Werder (Havel),52.3928748,12.9269844,station,station
30821659,Kirchmöser,52.3757460,12.4215881,station,station
30839093,Heerstraße,50.1434561,8.6083618,halt,station
30840279,Hausen,50.1377612,8.6245399,halt,station
30883062,Industriehof,50.1285885,8.6298175,station,station
30883069,Große Nelkenstraße,50.1330284,8.6283519,halt,station
30883076,Fischstein,50.1293756,8.6251947,halt,station
30883080,Hausener Weg,50.1314250,8.6198226,halt,station
30883085,Friedhof Westhausen,50.1388388,8.6126856,halt,station
30892154,Cochem (Mosel),50.1530731,7.1667697,station,station
30892206,Klotten,50.1656138,7.2038941,halt,station
30892229,Müden (Mosel),50.1849234,7.3401006,halt,station
30892242,Treis-Karden,50.1799182,7.2997050,station,station
30892319,Koblenz-Güls,50.3407308,7.5490181,halt,station
30892363,Kobern-Gondorf,50.3004390,7.4605988,station,station
30892371,Lehmen,50.2845694,7.4552482,halt,station
30896623,Walsrode,52.8653496,9.6012119,station,station
30899311,Mainz Römisches Theater,49.9933235,8.2782697,station,station
30899493,Bad Neustadt (Saale),50.3282279,10.2261015,station,station
30903112,Mellrichstadt Bf,50.4244694,10.3066804,station,station
30906669,Walheim (Württemberg),49.0110627,9.1520050,station,station
30909371,Nürtingen,48.6278680,9.3426520,station,station
30918873,Tüßling,48.2119161,12.5891279,station,station
30918935,Garching (Alz),48.1302427,12.5730935,station,station
30919064,Tittmoning-Wiesmühl,48.0239357,12.7449312,station,station
30922188,Rüsselsheim Opelwerk,49.9877543,8.3995396,station,station
30923017,Zeppelinheim,50.0368029,8.6053613,station,station
30925453,Kirchanschöring,47.9532932,12.8317966,station,station
30936630,Tübingen Lustnau,48.5238439,9.0944493,halt,stop_position
30947646,Eschborn,50.1437250,8.5607374,station,station
30947652,Niederhöchstadt,50.1546433,8.5467913,station,station
30947661,Kronberg Süd,50.1735285,8.5286368,halt,station
30947871,Schwalbach Limes,50.1544878,8.5280238,halt,
30947882,Sulzbach Nord,50.1387033,8.5176020,halt,
30947893,Bad Soden,50.1431713,8.5041132,station,station
30947992,Sossenheim,50.1149359,8.5536044,halt,
30948008,Sulzbach,50.1299252,8.5280429,halt,
30959386,Lambrecht (Pfalz),49.3732184,8.0743336,station,station
30959403,Neidenfels,49.3864598,8.0452530,halt,station
30959448,Weidenthal,49.4175653,7.9944462,station,station
30959690,Kaiserslautern Hauptbahnhof,49.4359851,7.7689299,station,station
30998484,Stephan-Heise-Straße,50.1362830,8.6149963,halt,station
31012646,Strausberg Stadt,52.5766818,13.8878521,halt,station
31048718,Hermannstraße,52.4672622,13.4314659,station,station
31077761,Landsberg (bei Halle/Saale),51.5325540,12.1662681,station,
31079801,Johanna-Tesch-Platz,50.1277169,8.7257257,station,station
31079818,Gwinnerstraße,50.1336289,8.7411615,station,station
31079822,Kruppstraße,50.1379284,8.7444682,halt,station
31079826,Hessen-Center,50.1405060,8.7490937,halt,station
31079828,Enkheim,50.1425306,8.7537714,halt,station
31086812,Ahrensfelde (Bz Bremen),53.2333987,8.8182576,station,station
31087358,Worpswede,53.2266060,8.9154764,station,station
31097851,Ittersbach Industrie,48.8847725,8.5086506,station,station
31172814,Remagen,50.5773213,7.2297079,station,station
31172863,Unkel,50.6029448,7.2196617,station,station
31191211,Hattenheim,50.0136685,8.0569092,station,station
31206661,Elsholz,52.2038155,12.9550043,halt,station
31206666,Buchholz (Zauche),52.1657093,12.9205049,halt,station
