bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
233BEG,,Aying,6,Bayern,2.89,7.59,
236NASA,,Baalberge,6,Sachsen-Anhalt,3.34,8.9,
8284BEG,,Baar-Ebenhausen,6,Bayern,2.89,7.59,
237VBB,,Babelsberg,5,Brandenburg,3.44,9.13,
238RMV,,Babenhausen(Hess),5,Hessen,2.4,6.3,
3564RMV,,BabenhausenLangstadt,7,Hessen,1.88,4.96,
239VMBW,,Babstadt,7,Baden-Württemberg,1.9,5.07,
,240ZÖPNVSüd,Bacharach,5,Rheinland-Pfalz,2.95,7.78,
241BEG,,Bachern,7,Bayern,2.13,5.65,
242TLBV,,Bachfeld,7,Thüringen,2.7,7.22,
243VMBW,,Bachheim,7,Baden-Württemberg,1.9,5.07,
244VMBW,,Backnang,3,Baden-Württemberg,5.29,13.61,
245BEG,,BadAbbach,6,Bayern,2.89,7.59,
246BEG,,BadAibling,5,Bayern,2.72,7.01,
630BEG,,BadAiblingKurpark,6,Bayern,2.89,7.59,
247VMBW,,BadBellingen,6,Baden-Württemberg,2.35,6.18,
478VBB,,BadBelzig,5,Brandenburg,3.44,9.13,
248LNVG,,BadBentheim,5,Niedersachsen,4.79,12.4,
7184ZÖPNVSüd,,BadBergzabern,6,Rheinland-Pfalz,1.99,5.22,
249TLBV,,BadBerka,7,Thüringen,2.7,7.22,
7999TLBV,,BadBerkaZeughausplatz,7,Thüringen,2.7,7.22,
251NWL,,BadBerleburg,6,Nordrhein-Westfalen,3.85,9.87,
253LNVG,,BadBevensen,5,Niedersachsen,4.79,12.4,
256TLBV,,BadBlankenburg(Thüringerw),6,Thüringen,3.43,9.13,
,257ZVRPNord,BadBodendorf,6,Rheinland-Pfalz,2.27,5.85,
742LNVG,,BadBodenteich,6,Niedersachsen,4.23,10.34,
258ZVV,,BadBrambach,6,Sachsen,3.51,9.38,
,259ZVRPNord,BadBreisig,5,Rheinland-Pfalz,2.59,5.24,
261RMV,,BadCamberg,5,Hessen,2.4,6.3,
262VMV,,BadDoberan,5,Mecklenburg-Vorpommern,3.75,9.97,
264NWL,,BadDriburg(Westf),6,Nordrhein-Westfalen,3.85,9.87,
,266ZÖPNVSüd,BadDürkheim,4,Rheinland-Pfalz,2.84,7.4,
,267ZÖPNVSüd,BadDürkheim-Trift,6,Rheinland-Pfalz,1.99,5.22,
268NASA,,BadDürrenberg,6,Sachsen-Anhalt,3.34,8.9,
269ZVV,,BadElster,7,Sachsen,3.28,8.76,
,271ZVRPNord,BadEms,5,Rheinland-Pfalz,2.59,5.24,
,272ZVRPNord,BadEmsWest,6,Rheinland-Pfalz,2.27,5.85,
274BEG,,BadEndorf(Oberbay),4,Bayern,3.19,7.89,
1760LNVG,,BadFallingbostel,5,Niedersachsen,4.79,12.4,
276VBB,,BadFreienwalde(Oder),6,Brandenburg,3.98,10.22,
277VMBW,,BadFriedrichshallHbf,3,Baden-Württemberg,5.29,13.61,
278VMBW,,BadFriedrichshall-Kochendorf,6,Baden-Württemberg,2.35,6.18,
279LNVG,,BadGandersheim,6,Niedersachsen,4.23,10.34,
280VMBW,,BadGriesbach,6,Baden-Württemberg,2.35,6.18,
