@id;name;@lat;@lon;railway;public_transport;Index1_df0;Code_df0;Serviceeinrichtung_df0;Category_df0;State_df0;Price_SPNV_df0;Price_SPFV_df0;Bemerkung_df0;match_type;match_score;match_subtype;confidence;explanation
25436705;Rot-Malsch;49.2433584;8.6522152;station;station;5377;VM BW;Rot-Malsch;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
25436789;Heidelberg-Kirchheim/Rohrbach;49.3793639;8.6753555;station;station;2630;VM BW;Heidelberg-Kirchheim/Rohrbach;4.0;Baden-Württemberg;3,92 €;10,18 €;;exact;100;;;
25454809;Steinweiler;49.1210186;8.1307162;halt;station;4342;ZÖPNV Süd;Steinweiler;6.0;Rheinland-Pfalz;1,99 €;5,22 €;;exact;100;;;
25479399;Ötisheim;48.9664061;8.8138045;halt;station;4819;VM BW;Ötisheim;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
25479409;Maulbronn West;48.9838385;8.7814485;station;station;4003;VM BW;Maulbronn West;7.0;Baden-Württemberg;1,90 €;5,07 €;;exact;100;;;
25479442;Ölbronn-Dürrn;48.9858243;8.7532742;halt;station;7764;VM BW;Ölbronn-Dürrn;7.0;Baden-Württemberg;1,90 €;5,07 €;;exact;100;;;
25479463;Knittlingen-Kleinvillars;48.9935909;8.7443656;halt;station;6370;VM BW;Knittlingen-Kleinvillars;7.0;Baden-Württemberg;1,90 €;5,07 €;;exact;100;;;
25479495;Bretten-Ruit;49.0094061;8.7220665;halt;station;5428;VM BW;Bretten-Ruit;7.0;Baden-Württemberg;1,90 €;5,07 €;;exact;100;;;
25480308;Graben-Neudorf Nord;49.1779394;8.4940652;halt;station;2224;VM BW;Graben-Neudorf Nord;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
25480338;Rheinsheim;49.2291125;8.4158403;halt;station;5256;VM BW;Rheinsheim;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
25480373;Huttenheim;49.1971195;8.4726007;halt;station;2955;VM BW;Huttenheim;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
25480391;Germersheim;49.2258963;8.3646891;station;station;2092;ZÖPNV Süd;Germersheim;5.0;Rheinland-Pfalz;2,95 €;7,78 €;;exact;100;;;
25572169;Mainleus;50.0997081;11.379828;station;station;3896;BEG;Mainleus;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
25572703;Marktschorgast;50.0908405;11.653602;station;station;3980;BEG;Marktschorgast;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
25587943;Bremen-Oslebshausen;53.1351831;8.7413443;halt;station;862;SUBV;Bremen-Oslebshausen;5.0;Bremen;1,56 €;4,04 €;;exact;100;;;
25601842;Frankfurt (Main) Galluswarte;50.1043873;8.6444435;station;station;1863;RMV;Frankfurt (Main) Galluswarte;4.0;Hessen;2,78 €;6,42 €;;exact;100;;;
25627273;Groß Gerau-Dornberg;49.9121663;8.4946956;station;station;2300;RMV;Groß Gerau-Dornberg;3.0;Hessen;4,14 €;10,93 €;;exact;100;;;
25715386;Paderborn Kasseler Tor;51.7161809;8.7615273;halt;station;4847;NWL;Paderborn Kasseler Tor;6.0;Nordrhein-Westfalen;3,85 €;9,87 €;;exact;100;;;
25720648;Reutlingen-Sondelfingen;48.5151287;9.236804;halt;station;5245;VM BW;Reutlingen-Sondelfingen;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
25723981;Dortmund-Kurl;51.5570255;7.5852785;station;station;1315;VRR;Dortmund-Kurl;6.0;Nordrhein-Westfalen;2,76 €;7,00 €;;exact;100;;;
25731502;Langenselbold;50.1621748;9.0581168;station;;3550;RMV;Langenselbold;4.0;Hessen;2,78 €;6,42 €;;exact;100;;;
25741455;Dortmund-Huckarde;51.5326316;7.4024114;halt;station;1307;VRR;Dortmund-Huckarde;6.0;Nordrhein-Westfalen;2,76 €;7,00 €;;exact;100;;;
25743078;Dortmund-Bövinghausen;51.5188789;7.3275594;station;station;1301;VRR;Dortmund-Bövinghausen;6.0;Nordrhein-Westfalen;2,76 €;7,00 €;;exact;100;;;
25895645;Schloß Holte;51.9077658;8.6114163;station;station;5598;NWL;Schloß Holte;6.0;Nordrhein-Westfalen;3,85 €;9,87 €;;exact;100;;;
25895646;Hövelhof;51.8240084;8.6616455;station;station;2927;NWL;Hövelhof;6.0;Nordrhein-Westfalen;3,85 €;9,87 €;;exact;100;;;
25895648;Paderborn-Sennelager;51.7703723;8.7137798;station;station;5824;NWL;Paderborn-Sennelager;7.0;Nordrhein-Westfalen;2,48 €;6,41 €;Name alt: Sennelager;exact;100;;;
